ingredient,fdc_id,description,Protein,Total lipid (fat),"Fatty acids, total saturated",Cholesterol,"Carbohydrate, by difference","Sodium, Na","Fiber, total dietary","Sugars, added","Vitamin A, RAE","Vitamin C, total ascorbic acid","Calcium, Ca","Iron, Fe",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, DFE",Vitamin B-12,Biotin,Pantothenic acid,"Phosphorus, P","Iodine, I","Magnesium, Mg","Zinc, Zn","Selenium, Se","Copper, Cu","Manganese, Mn","Chromium, Cr","Molybdenum, Mo","Chloride, Cl","Potassium, K","Choline, total"
chile pepper,168570,"Peppers, hot chile, sun-dried",21.16,7.45,4.06,0.0,25.4,3.96,102.5,0.0,0,34.89,3.46,33.56,0,20.93,0,6.75,92.69,54.18,47.65,0,0,0,19.12,12.72,0,20.95,9.27,0,25.33,35.7,0,0,0,39.79,15.33
chive,169994,"Chives, raw",6.54,0.94,0.73,0.0,1.58,0.13,8.93,0.0,0,64.56,7.08,8.89,0,1.4,0,6.5,8.85,4.04,8.12,0,0,0,6.48,4.64,0,10.0,5.09,0,17.44,16.22,0,0,0,6.3,0.95
chocolate,170274,"Candies, chocolate, dark, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)",10.18,41.28,94.96,2.33,21.81,1.0,25.71,0.0,0,0.0,4.38,45.17,0,3.67,0,2.17,3.92,4.67,2.41,0,0,0,6.08,17.12,0,36.19,19.18,0,119.56,62.61,0,0,0,12.09,5.02
cilantro,169997,"Coriander (cilantro) leaves, raw",4.26,0.67,0.07,0.0,1.33,2.0,10.0,0.0,0,30.0,5.15,9.83,0,16.67,0,5.58,12.46,6.96,8.76,0,0,0,11.4,3.84,0,6.19,4.55,0,25.0,18.52,0,0,0,11.09,2.33
cinnamon,171849,"Bread, cinnamon",14.1,6.78,0.0,0.0,16.14,16.87,12.5,0.0,0,0.0,5.46,14.11,0,3.33,0,26.42,9.23,17.64,1.59,0,0,0,0.0,4.56,0,2.62,4.45,0,7.11,0.0,0,0,0,1.57,0.49
clam,174214,"Mollusks, clam, mixed species, raw",29.34,1.23,0.94,10.0,1.3,26.13,0.0,0.0,0,0.0,3.0,9.0,0,4.53,0,1.25,3.08,2.19,0.59,0,0,0,2.96,15.84,0,4.52,4.64,0,5.89,3.7,0,0,0,0.98,11.82
clove,171321,"Spices, cloves, ground",11.94,16.67,19.76,0.0,23.83,12.04,121.07,0.0,0,0.22,48.62,65.72,0,58.8,0,13.17,16.92,9.75,23.0,0,0,0,10.18,8.32,0,61.67,21.09,0,40.89,2614.22,0,0,0,21.7,6.8
coconut,170169,"Nuts, coconut meat, raw",6.66,42.94,148.49,0.0,5.54,0.87,32.14,0.0,0,3.67,1.08,13.5,0,1.6,0,5.5,1.54,3.38,3.18,0,0,0,6.0,9.04,0,7.62,10.0,0,48.33,65.22,0,0,0,7.57,2.2
cod,2684444,"Fish, cod, Atlantic, wild caught, raw",32.14,0.86,0.22,15.81,0.0,12.99,0.0,0.0,0,0.0,0.51,0.36,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,17.93,0,4.28,2.77,0,0.44,0.0,0,0,0,5.21,0.0
coffee,2705599,"Coffee creamer, NFS",2.0,12.78,9.7,0.0,4.15,2.91,0.0,0.0,0,0.0,0.69,0.17,0,5.4,0,0.0,0.0,0.0,0.0,0,0,0,0.0,5.12,0,0.0,0.18,0,0.0,0.0,0,0,0,4.06,0.0
